shift,delta,n_cell,is_observed
111893,-0.00015969659554759295,209,False
21787,-7.967286571420165e-05,218,False
115835,0.00014949812216457026,202,False
64874,-0.0008180391893929393,203,False
1102,0.0010923135414821008,266,False
149437,0.00028082274216393384,210,False
25748,0.0002876186290353737,212,False
92220,-0.00028630814374277266,216,False
28143,0.0005439930575526209,218,False
144305,0.0020939380043568153,223,False
114212,-0.0003680554023990754,228,False
124418,0.0010184370178407437,189,False
66878,0.0006484871337656403,205,False
72334,-0.0010978356936978124,178,False
98134,0.001902977336142517,188,False
121389,0.0008016166356544002,190,False
131006,0.000673060319645624,279,False
2852,0.0010790194252625037,224,False
102656,0.0011623242538251028,184,False
16965,-6.352322038707977e-05,189,False
44599,-1.3462282344681188e-05,186,False
128293,0.00020139926166273543,210,False
38815,0.0004103456769830023,200,False
123252,0.00015786259554144094,242,False
71658,0.0008880267734074312,159,False
36053,9.677892258731644e-05,193,False
51757,6.069742272371449e-05,189,False
82132,-0.00021391350247842485,203,False
118357,0.0003770146111634913,244,False
93762,0.0002044111121454178,265,False
144336,0.0009576233715987054,234,False
134214,0.0011407248520259596,207,False
116535,-0.00010498862842823846,240,False
93312,0.0003773921403390347,226,False
44896,-0.00040220978518774766,204,False
63863,-0.0009666106721267628,171,False
18472,-0.000606380336727108,179,False
